artist;city;Lon;Lat
Francis Alÿs;Antwerp;4.402771;51.219448
Georgia Sagri;Athens;23.727539;37.983810
Liam Gillick;Aylesbury;-0.808400;51.815606
Etel Adnan;Beirut;35.495480;33.888630
Marwan Rechmaoui;Beirut;35.495481;33.893791
Elmas Deniz;Bergama;27.179913;39.123563
Grace Schwindt;Berlin;13.381777;52.520008
Ayreen Anastas;Bethlehem;35.200657;31.705382
Senam Okudzeto;Chicago;-87.554420;41.878113
Edgar Cleijne;Eindhoven ;5.4697225;51.441642
Nguyen Huy An;Hanoi;105.804817;21.028511
Pelin Tan;Hilden;6.935225;51.175430
Cheng Ran;Inner Mongolia;111.733017;40.846333
Sarkis Zbunyan;Istanbul;28.979530;41.008240
Cansu Çakar;Istanbul;28.979531;41.008240
Cevdet Erek;Istanbul;28.979532;41.008240
Emre Hüner;Istanbul;28.979533;41.008240
Meriç Algün Ringborg;Istanbul;28.979534;41.008240
Merve Kılıçer;Istanbul;28.979535;41.008240
Hera Büyüktaşçıyan;Istanbul ;28.979536;41.008240
Orhan Pamuk;İstanbul ;28.979537;41.008240
Deniz Gül;İzmir;27.142826;38.437502
Paul Guiragossian;Jerusalem;35.217018;31.771959
Nikita Kadan;Kiyv;30.523333;50.450001
Emin Ozsoy;Kıralan;29.63687710;38.11979880
Frans Krajcberg;Kozienice;21.54779;51.507351
Heather Phillipson;London;-0.118092;51.509865
Michael Rakowitz;Long Island;-73.138260;40.416775
Fernando García Dory;Madrid;-3.703790;40.416775
Kristina Buch;Meerbusch;6.690717;51.250351
Richard Ibghy;Montreal;-73.561668;45.508888
Anton Vidokle;Moscow;37.618423;37.618423
Rupali Patil;Mumbai;72.877426;19.076090
Emile Galle;Nancy;6.184417;48.692055
Christine Taylor Patten;New Mexico;-106.018066;34.307144
Lawrence Weiner;New York;-73.935242;40.730610
Santiago Ramon y Cajal;Petilla de Aragón;-1.116670;42.45000
Ellen Gallagher;Providence;-71.418884;41.825226
Cildo Meireles;Río de Janeiro;-43.196388;-22.908333
Fabio Mauri;Rome;12.496366;41.902782
Daria Martin;San Francisco;122.431297;37.773972
Frederik Carl Mülertz Stormer;Skien;9.60897;59.20962
Ed Atkins;Stonesfield;-1.43521;51.8502
Rene Gabri;Tehran;51.404343;35.715298
Bracha L. Ettinger;Tel Aviv;34.855499;32.109333
George Bures Miller;Vegreville;-112.041626;53.492626
Guiseppe Pelliza de Volpedo;Volpedo;8.986150;44.888870
Giovanni Anselmo;Borgofranco d'Ivrea;7.856137;45.511361
Fahrelnisa Zeid;Büyükada island;29.118666192;40.854663248
Janet Cardiff ;Brussels, Ontario;-81.24960900;43.74441100
Marilou Lemmens;Durham-Sud, Quebec;-72.333332;45.6499974
Praphakar Pachupte;Sasti, Chandrapur;79.31415;19.81195
Robert Smithson;Passaic, New Jersey;-74.128476;40.856766