"~ ""gallery""","~ ""year"""
High Art,2023
Nir Altman,2023
LC QUISSER,2023
STANDARD ,2023
Embajada,2023
Duarte Sequeira Seoul,2023
Kristina Kite Gallery,2023
Craft Contemporary,2023
"Art, Design & Architecture Museum",2023
Nina Johnson,2023
Secession,2022
Simian,2022
GAK Gesellschaft für Aktuelle Kunst,2022
sonneundsolche,2022
Tomio Koyama Gallery,2022
XYZcollective,2022
"Fig.,",2022
Bombon Projects,2022
"Mishkin Gallery, Baruch College",2022
Shulamit Nazarian,2022
Champ Lacombe,2022
High Desert Test Sites,2022
Halsey McKay,2022
Hammer Museum,2022
David Lewis,2022
Commercial street,2022
Kristina Kite Gallery,2022
Chris Sharp Gallery,2022
Kunstverein Harburger Bahnhof,2022
Misako & Rosen,2022
O—Overgaden,2021
Galerie Gisela Capitain,2021
Dortmunder Kunstverein,2021
Hagiwara Projects,2021
Te Tuhi,2021
Galeria Madragoa,2021
Money Gallery,2021
Wilde,2021
The Modern Institute,2021
Kristina Kite Gallery,2021
Various Small Fires,2021
Grimm,2021
François Ghebaly,2021
The Art Gallery at the University of Hawai‘i at Mānoa,2021
François Ghebaly,2021
Chris Sharp Gallery,2021
Artists Space,2021
MIT List Visual Arts Center,2020
Sprüth Magers,2020
Oakville Galleries,2019
High Art,2019
,
Kunstverein Braunschweig,2019
Magasin III Jaffa,2019
Pavilion of KiribATI,2019
MASSIMODECARLO,2019
Taka Ishii Gallery,2019
Tiwani Contemporary,2019
Te Tuhi,2019
Greene Naftali,2019
Meliksetian | Briggs,2019
Almine Rech,2019
Museo Tamayo,2018
Kunsthalle Lissabon,2018
Magneta Plains,2018
Altman Siegel,2018
Reena Spaulings Fine Art,2018
Matthew Marks,2018
Swiss Insitute,2018
STANDARD ,2017
Nicelle Beauchene Gallery,2017
Jessica Silverman,2017
The Wattis Institute,2017
Team Gallery,2017
Kristina Kite Gallery,2017
Blum & Poe,2017
MoMA PS1,2017
Hannah Hoffman Gallery,2017
Édouard Montassut,2016
Gnyp Gallery,2016
Gío Marconi,2016
Fondazione Sandretto Re Rebaudengo,2016
Pilar Corrias,2016
JOAN,2016
Commercial Street,2016
,
castillo/corrales,2015
Société,2015
Le Case D'Arte,2015
San Juan del Sur; La Virgen; San Jose de los Remates,2015
JOAN,2015
"Marianne Boesky Gallery,",2015
Artspeak,2014
Venus Over Manhattan,2014
576 Morgan Ave Apt 3L,2014
Rachel Uffner,2014
Nicelle Beauchene Gallery,2014
Public Fiction at Hammer Museum,2014
Nicelle Beauchene Gallery,2014
Neues Museum,2013
Misako & Rosen,2013
New Jerseyy,2013
Galerie Francesca Pia,2013
Andrew Kreps,2013
"Balice Hertling 
",2013
Balice Hertling,2013
Balice Hertling and Lewis,2012
Graff Mourgue D'Algue,2012
New Jerseyy,2012
Graff Mourgue D'Algue,2012
Casey Kaplan,2012
Hauser & Wirth,2012
Pro Choice,2010
Kunsthal Aarhus,2010
Schinkel Pavillon,2010
Galerie Buchholz,2010
Galerie Buchholz,2010
The Drawing Center,2010
Konrad Fischer,2009
Air de Paris,1999