gallery;city;Lon;Lat
NoguerasBlanchard;Barcelona;2.173403;41.385064
Kunsthaus Baselland;Basel;7.588576;47.559599
Galerie Barbara Weiss;Berlin;-88.529943;13.496036
Galerie Neu;Berlin;-88.529944;13.496037
Efremidis;Berlin;-88.529945;13.496038
LISZT;Berlin;-88.529946;13.496039
Wien Lukatsch;Berlin;-88.529947;13.496040
Micky Schubert;Berlin;-88.529948;13.496041
Galerie Buchholz;Berlin;-88.529949;13.496042
Delphi Filmpalast, Kantstraße 12a;Berlin;-88.529950;13.496043
Konrad Fischer;Berlin;-88.529951;13.496044
Galerie Buchholz;Berlin;-88.529952;13.496045
DAAD;Berlin;-88.529953;13.496046
Ikon;Birmingham;-1.890401;52.486243
Beige;Brussels;4.351721;50.850346
WIELS;Brussels;4.351722;50.850347
Damien & The Love Guru;Brussels;4.351723;50.850348
Etablissement d’en face;Brussels;4.351724;50.850349
Contemporary Arts Center;Cincinnati;-84.512020;39.103118
Goldfinch;Chicago;-87.629798;41.878114
Rhona Hoffman Gallery;Chicago;-87.629799;41.878115
Galerie Buchholz;Cologne;6.960279;50.937531
Le Consortium;Dijon;5.041480;47.322047
Focal Point Gallery;Essex;0.603602;51.555127
Neue Alte Brücke;Frankfurt;8.682127;50.110922
Para Site;Hong Kong;114.109497;22.396428
Villa Carmignac;Hyères;6.128639;43.120541
High Desert Test Sites;Joshua Tree;-116.313066;34.134728
Galeria Madragoa;Lissabon;-9.142685;38.736946
Kunsthalle Lissabon;Lissabon;-9.142686;38.736947
Modern Art;London;-0.118092;51.509865
Overduin & Co.;Los Angeles;-72.361225;-37.462916
Emma Gray HQ;Los Angeles;-118.243683;34.052235
Harkawik;Los Angeles;-118.243684;34.052236
Feuilleton;Los Angeles;-118.243685;34.052237
Regen Projects;Los Angeles;-118.243686;34.052238
Freedman Fitzpatrick;Los Angeles;-118.243687;34.052239
Vleeshal;Middelburg;3.610998;51.498796
Someday Gallery;New York;-74.005973;40.712775
Lubov;New York;-74.005974;40.712776
HESSE FLATOW;New York;-74.005975;40.712777
Harkawik;New York;-74.005976;40.712778
Margot Samel;New York;-74.005977;40.712779
David Lewis;New York;-74.005978;40.712780
Shoot the Lobster;New York;-74.005979;40.712781
JTT;New York;-74.005980;40.712782
SculptureCenter;New York;-74.005981;40.712783
Art in General;New York;-74.005982;40.712784
Taka Ishii Gallery;New York;-74.005983;40.712785
Petzel;New York;-74.005984;40.712786
The Drawing Center;New York;-74.005985;40.712787
Mu.ZEE;Ostend;2.928656;51.215430
Air de Paris;Paris;2.333333;48.866667
kamel mennour;Paris;2.333334;48.866668
Rinomina;Paris;2.333335;48.866669
Lafayette Anticipations;Paris;2.333336;48.866670
Taka Ishii Gallery Photography Paris;Paris;2.333337;48.866671
Air de Paris;Paris;2.333338;48.866672
Kim? Contemporary Art Centre;Riga;24.105078;56.946285
Shimmer;Rotterdam;4.462456;51.926517
Jessica Silverman;San Francisco;-122.431297;37.773972
Pivô;São Paulo;-46.625290;-23.533773
Waldo;Searsport;-68.5529;44. 2730
Jason Haam;Seoul;127.047325;37.517235
Kunst Halle Sankt Gallen;Sankt Gallen;9.376717;47.424482
Delgosha Gallery;Tehran;51.404343;35.715298
Taka Ishii Gallery;Tokyo;139.817413;35.672855
Taka Ishii Gallery Modern;Tokyo;139.817414;35.672856
Contemporary Art Gallery Vancouver;Vancouver;-123.116226;49.246292
Lithuanian Pavilion;Venice;12.327145;45.438759
Japan Pavilion;Venice;12.327146;45.438760
MUMOK;Vienna;16.363449;48.210033