city;Long;Lat;Pop
Abbotsford;-122.316666;49.049999;1
Aix-en-Provence;5.447427;43.529742;1
Amsterdam;4.897070;52.377956;2
Anderlecht;4.329696;50.8365808;1
Antwerp;4.402771;51.260197;8
Audenarde;3.604461;50.843502;1
Basel;7.588576;47.559601;1
Bay City;-83.888865;43.594468;1
Beirut;35.495480;33.888630;1
Borgerhout ;4.6999972;51.3499986;1
Brussels;4.34878;50.85045;4
Bucharest;26.096306;44.439663;1
Calais;1.862801;50.954468;1
Canterbury;1.080000;51.279999;1
Cape Town;18.423300;33.918861;1
Cappelle sul Tavo;14.103210;42.464752;1
Cateau-Cambrésis;3.543770;50.100458;1
Cologne;6.953101;50.935173;1
Copenhague;12.568337;55.676098;1
Detmold ;8.87318;51.93855;1
Detroit;-83.045753;42.331429;1
Dnipropetrovsk;34.983334;48.450001;1
Donaueschingen;8.49707;47.95514;1
Douai;3.080000;50.371399;1
Dresden;13.737262;51.050407;1
Duffel;4.50903;51.09554;1
Düsseldorf;6.783333;51.233334;3
East Longmeadow;-72.512586;42.06454;1
Eeklo;3.563890;51.185272;1
Eindhoven;5.469722;51.441642;3
Electric City;-82.7132145;34.5794745;1
Etterbeek ;4.388994;50.832578;1
Exeter;-3.533333;50.716667;1
Fontenay-aux-Roses ;2.288770;48.789322;1
Gemert;5.6999972;51.5499978;1
Gent;3.717424;51.054342;6
Geraardsbergen;3.875164;50.770735;1
Granville;-1.597302;48.837579;1
Greifswald;13.392341;54.086546;1
Grembergen;4.0999996;51.0499998;1
Grenoble;5.722387;45.171547;1
Heestert;3.410366;50.7826441;1
Honfleur;0.233262;49.418762;1
Ixelles;4.3666294;50.8333432;2
Izegem;3.213219;50.918079;2
Knokke;51.346352;3.285860;1
Kortrijk;3.257726;50.819478;1
Krefeld;6.566667;51.333332;1
Lattrop;6.979192;52.43851;1
Lausanne;6.633597;46.519962;1
Leonberg;9.009571;48.796045;1
Lessines;3.8288692;50.712374;1
Liberty;-69.302650;44.389370;1
Liège;5.579666;50.632557;1
London;-0.118092;51.509865;1
Machelen;4.477536;51.025876;2
Malaga;-4.420000;36.719444;1
Monthermé;4.73013;49.88465;1
Mortsel;4.466249;51.169116,;1
Munich;11.576124;48.137154;1
National City;-117.0991;32.67810;1
New York;-73.935242;40.730610;1
Nkongsamba;9.935332;4.974117;1
Ohio;-82.996216;40.367474;1
Oldenburg;8.213889;53.143890;1
Omaha;-95.995102;41.257160;1
Ornans;6.147005;47.106041;1
Osnabrück;8.050000;52.283333;1
Ostend;2.934465;51.228443;2
Paris;2.349014;48.864716;3
Piraeus, Greece;23.63708;37.94745;1
Portland, Oregon;-122.676483;45.523064;1
Purworejo;110.0166666;-7.7166638;1
Quincy;-71.002579;42.255459;1
Renaix, Flanders;3.600510;50.750537;1
Saint-Pétersbourg;30.308611;59.937500;1
Saint-Trond;5.186251;50.815725;1
Sint-Eloois-Vijve;5.186251;50.815725;1
Sint-Niklaas;4.154441;51.155884;1
Sittard;5.886479;51.000624;1
Sonthofen ;10.280862;47.516116;1
Tallahassee;-84.253334;30.455000;1
The Hague;4.288788;52.078663;3
"
Winschoten";7.036788;53.142498;1
Tokyo;139.817413;35.652832;1
Toledo, Ohio;-83.541939;41.651031;1
Uccle;4.33943;50.8023982;1
Utrecht;5.104480;52.092876;1
Vienna;16.363449;48.210033;1
Villiers-le-Bel;2.391100;49.009399;1
Vitebsk;30.201622;55.184806;1
Weert;5.70694;51.25167;1
Wervicq;3.048049;50.770320;1