"~""gallery name""";"~""country""";"~""city""";"~""lat""";"~""long"""
NoguerasBlanchard;Spain;Barcelona;41.385064;2.173403
Kunsthaus Baselland;Swiss;Basel;47.559599;7.588576
Galerie Barbara Weiss;Germany;Berlin;13.496036;-88.529943
Galerie Neu;Germany;Berlin;13.496037;-88.529944
Efremidis;Germany;Berlin;13.496038;-88.529945
LISZT;Germany;Berlin;13.496039;-88.529946
Wien Lukatsch;Germany;Berlin;13.496040;-88.529947
Micky Schubert;Germany;Berlin;13.496041;-88.529948
Galerie Buchholz;Germany;Berlin;13.496042;-88.529949
Delphi Filmpalast, Kantstraße 12a;Germany;Berlin;13.496043;-88.529950
Konrad Fischer;Germany;Berlin;13.496044;-88.529951
Galerie Buchholz;Germany;Berlin;13.496045;-88.529952
DAAD;Germany;Berlin;13.496046;-88.529953
Ikon;United Kingdom;Birmingham;52.486243;-1.890401
Beige;Belgium;Brussels;50.850346;4.351721
WIELS;Belgium;Brussels;50.850347;4.351722
Damien & The Love Guru;Belgium;Brussels;50.850348;4.351723
Etablissement d’en face;Belgium;Brussels;50.850349;4.351724
Contemporary Arts Center;United States of America; Cincinnati;39.103118;-84.512020
Goldfinch;United States of America;Chicago;41.878114;-87.629798
Rhona Hoffman Gallery;United States of America;Chicago;41.878115;-87.629799
Galerie Buchholz;Germany;Cologne;50.937531;6.960279
Le Consortium;France;Dijon;47.322047;5.041480
Focal Point Gallery;Germany;Essex;51.555127;0.603602
Neue Alte Brücke;Germany;Frankfurt;50.110922;8.682127
Para Site;Hong Kong;Hong Kong;22.396428;114.109497
Villa Carmignac;France;Hyères;43.120541;6.128639
High Desert Test Sites;United States of America;Joshua Tree;34.134728;-116.313066
Galeria Madragoa;Portugal;Lissabon;38.736946;-9.142685
Kunsthalle Lissabon;Portugal;Lissabon;38.736947;-9.142686
Modern Art;United Kingdom;London;51.509865;-0.118092
Overduin & Co.;United States of America;Los Angeles;-37.462916;-72.361225
Emma Gray HQ;United States of America;Los Angeles;34.052235;-118.243683
Harkawik;United States of America;Los Angeles;34.052236;-118.243684
Feuilleton;United States of America;Los Angeles;34.052237;-118.243685
Regen Projects;United States of America;Los Angeles;34.052238;-118.243686
Freedman Fitzpatrick;United States of America;Los Angeles;34.052239;-118.243687
Vleeshal;Germany;Middelburg;51.498796;3.610998
Someday Gallery;United States of America;New York;40.712775;-74.005973
Lubov;United States of America;New York;40.712776;-74.005974
HESSE FLATOW;United States of America;New York;40.712777;-74.005975
Harkawik;United States of America;New York;40.712778;-74.005976
Margot Samel;Unites States of America;New York;40.712779;-74.005977
David Lewis;Unites States of America;New York;40.712780;-74.005978
Shoot the Lobster;United States of America;New York;40.712781;-74.005979
JTT;United States of America;New York;40.712782;-74.005980
SculptureCenter;United States of America;New York;40.712783;-74.005981
Art in General;United States of America;New York;40.712784;-74.005982
Taka Ishii Gallery;United States of America;New York;40.712785;-74.005983
Petzel;United States of America;New York;40.712786;-74.005984
The Drawing Center;United States of America;New York;40.712787;-74.005985
Mu.ZEE;Belgium;Ostend;51.215430;2.928656
Air de Paris;France;Paris;48.866667;2.333333
kamel mennour;France;Paris;48.866668;2.333334
Rinomina;France;Paris;48.866669;2.333335
Lafayette Anticipations;France;Paris;48.866670;2.333336
Taka Ishii Gallery Photography Paris;France;Paris;48.866671;2.333337
Air de Paris;France;Paris;48.866672;2.333338
Kim? Contemporary Art Centre;Latvia;Riga;56.946285;24.105078
Shimmer;The Netherlands;Rotterdam;51.926517;4.462456
Jessica Silverman;United states of America;San Francisco;37.773972;-122.431297
Pivô;Brazil;São Paulo;-23.533773;-46.625290
Waldo;United States of America;Searsport;44. 2730;-68.5529
Jason Haam;South Corea;Seoul;37.517235;127.047325
Kunst Halle Sankt Gallen;Swiss;Sankt Gallen;47.424482;9.376717
Delgosha Gallery;Iran;Tehran;35.715298;51.404343
Taka Ishii Gallery;Japan;Tokyo;35.672855;139.817413
Taka Ishii Gallery Modern;Japan;Tokyo;35.672856;139.817414
Contemporary Art Gallery Vancouver;Canada;Vancouver;49.246292;-123.116226
Lithuanian Pavilion;Italy;Venice;45.438759;12.327145
Japan Pavilion;Italy;Venice;45.438760;12.327146
MUMOK;Austria;Vienna;48.210033;16.363449